date,ticker,sector,open,high,low,close,volume,source,return_1d,return_5d,return_20d,close_norm_20d,rsi_14_norm,macd_diff_norm,bb_pband,volume_ratio_20d,atr_norm
2024-04-23,UNH,Healthcare,470.02,473.19,464.25,465.4,3646700,yfinance,-0.01029261653623692,0.036872006238164,0.0006019951840383619,0.7806303024269372,0.6246184145741015,0.011148675282018471,0.6951575756067344,0.6397427485763807,0.025400577076554725
2024-04-24,UNH,Healthcare,463.11,467.97,460.17,466.48,3724400,yfinance,0.002320584443489482,0.01736020239029923,-0.010164024868971056,0.8598810119161509,0.6551899248425758,0.010294418484552082,0.7149702529790377,0.6498901116158871,0.025099835852708426
2024-04-25,UNH,Healthcare,468.06,475.89,466.7,472.76,4329700,yfinance,0.013462527868290053,0.0013980088964202775,0.00154651187424526,1.18672448726525,0.674808429118774,0.010039759388503195,0.7966811218163125,0.744619834916835,0.02506859415227296
2024-04-26,UNH,Healthcare,470.98,475.98,470.4,474.18,2727000,yfinance,0.0030036382096625402,-0.011527798044651871,0.001309232198665411,1.2573164786831503,0.6784124277730416,0.009658538053096046,0.8143291196707878,0.4734379109704088,0.025314377300964655
2024-04-29,UNH,Healthcare,474.53,476.1,466.93,468.13,2192100,yfinance,-0.012758867940444563,-0.004487070432119822,-0.001365275081596451,0.9425742773975732,0.6298352766981307,0.008257364402533282,0.7356435693493933,0.3830223311751452,0.025974164685633707
2024-04-30,UNH,Healthcare,468.06,468.78,461.97,463.03,3367500,yfinance,-0.010894409672526861,-0.005092393639879678,0.05579624224735502,0.6098051418154877,0.6549898951015299,0.006256688629407318,0.6524512854538719,0.6355944199811634,0.02584374354022107
2024-05-01,UNH,Healthcare,458.78,468.29,456.68,463.42,2729200,yfinance,0.0008422780381400763,-0.006559766763848396,0.05301188393283196,0.5694328617248867,0.7106519933554819,0.004669192758656731,0.6423582154312217,0.5236749347133238,0.026239696171939046
2024-05-02,UNH,Healthcare,463.58,472.59,463.26,471.9,3561400,yfinance,0.018298735488325946,-0.0018191048312040659,0.08253808038172128,0.9196381700292494,0.7513429045805252,0.004509005703400583,0.7299095425073124,0.6941488324952247,0.026331244513062683
2024-05-03,UNH,Healthcare,469.88,471.73,465.02,471.41,2487600,yfinance,-0.0010383555838100467,-0.005841663503310945,0.08057121899784536,0.8071805828011049,0.7316997518610424,0.004143763468130414,0.7017951457002763,0.5007639488607197,0.02607375442062868
2024-05-06,UNH,Healthcare,471.43,473.72,470.98,473.25,2029500,yfinance,0.0039031840648267035,0.010937132847713249,0.08416760211679009,0.8166848669074412,0.6598951507208387,0.0038999837404119424,0.7041712167268603,0.4191043000782658,0.021456493849520777
